Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjms,2000,Janeiro,0,0,0,0,01-01-2000,31-01-2000
tjms,2000,Fevereiro,0,0,0,0,01-02-2000,29-02-2000
tjms,2000,Março,0,0,0,0,01-03-2000,31-03-2000
tjms,2000,Abril,0,0,0,0,01-04-2000,30-04-2000
tjms,2000,Maio,0,0,0,0,01-05-2000,31-05-2000
tjms,2000,Junho,0,0,0,0,01-06-2000,30-06-2000
tjms,2000,Julho,0,0,0,0,01-07-2000,31-07-2000
tjms,2000,Agosto,0,0,0,0,01-08-2000,31-08-2000
tjms,2000,Setembro,0,0,0,0,01-09-2000,30-09-2000
tjms,2000,Outubro,0,0,0,0,01-10-2000,31-10-2000
tjms,2000,Novembro,0,0,0,0,01-11-2000,30-11-2000
tjms,2000,Dezembro,0,0,0,0,01-12-2000,31-12-2000
tjms,2001,Janeiro,0,0,0,0,01-01-2001,31-01-2001
tjms,2001,Fevereiro,0,0,0,0,01-02-2001,28-02-2001
tjms,2001,Março,0,0,0,0,01-03-2001,31-03-2001
tjms,2001,Abril,2,0,0,2,01-04-2001,30-04-2001
tjms,2001,Maio,262,0,0,262,01-05-2001,31-05-2001
tjms,2001,Junho,696,0,0,696,01-06-2001,30-06-2001
tjms,2001,Julho,126,0,0,126,01-07-2001,31-07-2001
tjms,2001,Agosto,694,0,0,694,01-08-2001,31-08-2001
tjms,2001,Setembro,655,0,0,655,01-09-2001,30-09-2001
tjms,2001,Outubro,735,0,0,735,01-10-2001,31-10-2001
tjms,2001,Novembro,697,0,0,697,01-11-2001,30-11-2001
tjms,2001,Dezembro,527,0,0,527,01-12-2001,31-12-2001
tjms,2002,Janeiro,59,0,0,59,01-01-2002,31-01-2002
tjms,2002,Fevereiro,645,0,0,645,01-02-2002,28-02-2002
tjms,2002,Março,649,0,0,649,01-03-2002,31-03-2002
tjms,2002,Abril,705,0,0,705,01-04-2002,30-04-2002
tjms,2002,Maio,659,0,0,659,01-05-2002,31-05-2002
tjms,2002,Junho,870,0,0,870,01-06-2002,30-06-2002
tjms,2002,Julho,210,0,0,210,01-07-2002,31-07-2002
tjms,2002,Agosto,762,0,0,762,01-08-2002,31-08-2002
tjms,2002,Setembro,613,0,0,613,01-09-2002,30-09-2002
tjms,2002,Outubro,851,0,0,851,01-10-2002,31-10-2002
tjms,2002,Novembro,675,0,0,675,01-11-2002,30-11-2002
tjms,2002,Dezembro,536,0,0,536,01-12-2002,31-12-2002
tjms,2003,Janeiro,182,0,0,182,01-01-2003,31-01-2003
tjms,2003,Fevereiro,605,0,0,605,01-02-2003,28-02-2003
