Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjsp,2000,Janeiro,1554,0,0,1554,01-01-2000,31-01-2000
tjsp,2000,Fevereiro,5027,0,0,5027,01-02-2000,29-02-2000
tjsp,2000,Março,4160,0,0,4160,01-03-2000,31-03-2000
tjsp,2000,Abril,3936,0,0,3936,01-04-2000,30-04-2000
tjsp,2000,Maio,4075,0,0,4075,01-05-2000,31-05-2000
tjsp,2000,Junho,3361,0,0,3361,01-06-2000,30-06-2000
tjsp,2000,Julho,1469,0,0,1469,01-07-2000,31-07-2000
tjsp,2000,Agosto,5980,0,0,5980,01-08-2000,31-08-2000
tjsp,2000,Setembro,3433,0,0,3433,01-09-2000,30-09-2000
tjsp,2000,Outubro,2479,0,0,2479,01-10-2000,31-10-2000
tjsp,2000,Novembro,3960,0,0,3960,01-11-2000,30-11-2000
tjsp,2000,Dezembro,1934,0,0,1934,01-12-2000,31-12-2000
tjsp,2001,Janeiro,1704,0,0,1704,01-01-2001,31-01-2001
tjsp,2001,Fevereiro,3763,0,0,3763,01-02-2001,28-02-2001
tjsp,2001,Março,3868,0,0,3868,01-03-2001,31-03-2001
tjsp,2001,Abril,3528,0,0,3528,01-04-2001,30-04-2001
tjsp,2001,Maio,4050,0,0,4050,01-05-2001,31-05-2001
tjsp,2001,Junho,3536,0,0,3536,01-06-2001,30-06-2001
tjsp,2001,Julho,1770,0,0,1770,01-07-2001,31-07-2001
tjsp,2001,Agosto,3847,0,0,3847,01-08-2001,31-08-2001
tjsp,2001,Setembro,2164,0,0,2164,01-09-2001,30-09-2001
tjsp,2001,Outubro,5100,0,0,5100,01-10-2001,31-10-2001
tjsp,2001,Novembro,3247,1,0,3248,01-11-2001,30-11-2001
tjsp,2001,Dezembro,2613,0,0,2613,01-12-2001,31-12-2001
tjsp,2002,Janeiro,2144,0,0,2144,01-01-2002,31-01-2002
tjsp,2002,Fevereiro,3133,0,0,3133,01-02-2002,28-02-2002
tjsp,2002,Março,3829,0,0,3829,01-03-2002,31-03-2002
tjsp,2002,Abril,4990,0,0,4990,01-04-2002,30-04-2002
tjsp,2002,Maio,3479,0,0,3479,01-05-2002,31-05-2002
tjsp,2002,Junho,3748,0,0,3748,01-06-2002,30-06-2002
tjsp,2002,Julho,2752,0,0,2752,01-07-2002,31-07-2002
tjsp,2002,Agosto,4797,2,0,4799,01-08-2002,31-08-2002
tjsp,2002,Setembro,4219,0,0,4219,01-09-2002,30-09-2002
tjsp,2002,Outubro,3467,0,0,3467,01-10-2002,31-10-2002
tjsp,2002,Novembro,4072,0,0,4072,01-11-2002,30-11-2002
tjsp,2002,Dezembro,2572,0,0,2572,01-12-2002,31-12-2002
tjsp,2003,Janeiro,3894,0,0,3894,01-01-2003,31-01-2003
tjsp,2003,Fevereiro,4225,0,0,4225,01-02-2003,28-02-2003
tjsp,2003,Março,4848,0,0,4848,01-03-2003,31-03-2003
tjsp,2003,Abril,4304,0,0,4304,01-04-2003,30-04-2003
tjsp,2003,Maio,5176,0,0,5176,01-05-2003,31-05-2003
tjsp,2003,Junho,3661,0,0,3661,01-06-2003,30-06-2003
tjsp,2003,Julho,4120,0,0,4120,01-07-2003,31-07-2003
tjsp,2003,Agosto,4872,0,0,4872,01-08-2003,31-08-2003
tjsp,2003,Setembro,5358,0,0,5358,01-09-2003,30-09-2003
tjsp,2003,Outubro,5101,0,0,5101,01-10-2003,31-10-2003
tjsp,2003,Novembro,3499,0,0,3499,01-11-2003,30-11-2003
tjsp,2003,Dezembro,1708,0,0,1708,01-12-2003,31-12-2003
tjsp,2004,Janeiro,1098,0,0,1098,01-01-2004,31-01-2004
tjsp,2004,Fevereiro,6885,2,0,6887,01-02-2004,29-02-2004
tjsp,2004,Março,5143,0,0,5143,01-03-2004,31-03-2004
tjsp,2004,Abril,3482,0,0,3482,01-04-2004,30-04-2004
tjsp,2004,Maio,5201,0,0,5201,01-05-2004,31-05-2004
tjsp,2004,Junho,3544,0,0,3544,01-06-2004,30-06-2004
